Action 4732243 : 0.0 s (cum. time 128.7753 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732244 : 0.0 s (cum. time 128.7753 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732245 : 0.0 s (cum. time 128.7754 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732246 : 0.0 s (cum. time 128.7754 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732247 : 0.0 s (cum. time 128.7754 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732248 : 0.0 s (cum. time 128.7754 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732249 : 0.0 s (cum. time 128.7754 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732250 : 0.0 s (cum. time 128.7754 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732251 : 0.0 s (cum. time 128.7754 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732252 : 0.0 s (cum. time 128.7754 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732253 : 0.0 s (cum. time 128.7754 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732254 : 0.0 s (cum. time 128.7754 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732255 : 0.0 s (cum. time 128.7754 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732256 : 0.0 s (cum. time 128.7755 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732257 : 0.0 s (cum. time 128.7755 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732258 : 0.0 s (cum. time 128.7755 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732259 : 0.0 s (cum. time 128.7755 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732260 : 0.0 s (cum. time 128.7755 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732261 : 0.0 s (cum. time 128.7755 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732262 : 0.0 s (cum. time 128.7755 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732263 : 0.0 s (cum. time 128.7755 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732264 : 0.0 s (cum. time 128.7755 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732265 : 0.0 s (cum. time 128.7755 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732266 : 0.0 s (cum. time 128.7755 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732267 : 0.0 s (cum. time 128.7756 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732268 : 0.0 s (cum. time 128.7756 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732269 : 0.0 s (cum. time 128.7756 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732270 : 0.0 s (cum. time 128.7756 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732271 : 0.0 s (cum. time 128.7756 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732272 : 0.0 s (cum. time 128.7756 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732273 : 0.0 s (cum. time 128.7756 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732274 : 0.0 s (cum. time 128.7756 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732275 : 0.0 s (cum. time 128.7756 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732276 : 0.0 s (cum. time 128.7756 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732277 : 0.0 s (cum. time 128.7757 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732278 : 0.0 s (cum. time 128.7757 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732279 : 0.0 s (cum. time 128.7757 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732280 : 0.0 s (cum. time 128.7757 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732281 : 0.0 s (cum. time 128.7757 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732282 : 0.0 s (cum. time 128.7757 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732283 : 0.0 s (cum. time 128.7757 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732284 : 0.0 s (cum. time 128.7757 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732285 : 0.0 s (cum. time 128.7757 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732286 : 0.0 s (cum. time 128.7757 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732287 : 0.0 s (cum. time 128.7757 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732288 : 0.0 s (cum. time 128.7758 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732289 : 0.0 s (cum. time 128.7758 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732290 : 0.0 s (cum. time 128.7758 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732291 : 0.0 s (cum. time 128.7758 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732292 : 0.0 s (cum. time 128.7758 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732293 : 0.0 s (cum. time 128.7758 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732294 : 0.0 s (cum. time 128.7758 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732295 : 0.0 s (cum. time 128.7758 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732296 : 0.0 s (cum. time 128.7758 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732297 : 0.0 s (cum. time 128.7758 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732298 : 0.0 s (cum. time 128.7758 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732299 : 0.0 s (cum. time 128.7758 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732300 : 0.0 s (cum. time 128.7759 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732301 : 0.0 s (cum. time 128.7759 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732302 : 0.0 s (cum. time 128.7759 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732303 : 0.0 s (cum. time 128.7759 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732304 : 0.0 s (cum. time 128.7759 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732305 : 0.0 s (cum. time 128.7759 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732306 : 0.0 s (cum. time 128.7759 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732307 : 0.0 s (cum. time 128.7759 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732308 : 0.0 s (cum. time 128.7759 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732309 : 0.0 s (cum. time 128.7759 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732310 : 0.0 s (cum. time 128.776 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732311 : 0.0 s (cum. time 128.776 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732312 : 0.0 s (cum. time 128.776 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732313 : 0.0 s (cum. time 128.776 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732314 : 0.0 s (cum. time 128.776 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732315 : 0.0 s (cum. time 128.776 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732316 : 0.0 s (cum. time 128.776 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732317 : 0.0 s (cum. time 128.776 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732318 : 0.0 s (cum. time 128.776 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732319 : 0.0 s (cum. time 128.776 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732320 : 0.0 s (cum. time 128.776 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732321 : 0.0 s (cum. time 128.7761 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732322 : 0.0 s (cum. time 128.7761 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732323 : 0.0 s (cum. time 128.7761 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
